"video_id","title","channel_title","published_at","view_count","like_count","comment_count","category_id","category_name"
"3abVd78_M7A","PUTT JAM TE LAO(official video) Prem Dhillon | Jenny Johal | The Kidd | MAJHAESTIC","Prem Dhillon","2026-06-19T08:30:06Z","2101414","104185","9562","10","Music"
"s8cP1Vt5US8","『チェンソーマン 刺客篇』ティザーPV②／Chainsaw Man –  Assassins Arc Official Trailer 2","MAPPA CHANNEL","2026-06-19T12:44:08Z","3888587","310664","11051","1","Film & Animation"
"wZW016nna48","If You Build It, I'll Buy It!","MrBeast Gaming","2026-06-20T16:00:01Z","5244040","188287","7469","20","Gaming"
"kofuSo_dmvs","INSANE (Official Music Video) - Black Gryph0n & Baasik","Black Gryph0n","2026-06-19T17:00:06Z","1443334","183111","10388","10","Music"
"62bIsvRcPv0","SPIDER-MAN: BRAND NEW DAY – New Trailer (4K)","Sony Pictures Entertainment","2026-06-17T18:58:31Z","19154887","558843","22782","24","Entertainment"
"Z8U_0y4ShW0","Meccha Chameleon spots that make you say ""That Pain't Me""","SMii7Y","2026-06-20T19:13:29Z","1148321","103161","2699","20","Gaming"
"BO_UI013prI","Hook Up","Iqbal - Topic","2026-06-19T19:25:55Z","201410","18884","1759","10","Music"
"kchopi72JBs","Avengers Doomsday Doctor Doom First Look Breakdown","Emergency Awesome","2026-06-20T18:41:30Z","122188","3484","315","24","Entertainment"
"XLlmc1hmklc","IEM Cologne Major 2026 - Day 16 - FULL SHOW","ESL Counter-Strike","2026-06-20T21:46:27Z","4011430","44815","129","20","Gaming"
"txrYKA8Zg4g","CG5 - Not Supposed To Love Me [Ode to JAX] (The Amazing Digital Circus Song Animation)","CG5","2026-06-20T22:00:06Z","173232","33281","3494","10","Music"
"UyuTKdIsSAA","""Brand New Day"" Could Be SENSATIONAL","troyoboyo17","2026-06-20T19:00:05Z","25000","2544","265","1","Film & Animation"
"oytYBnWu5DA","I Entered a Tournament with Mega Raichu Y","WolfeyVGC","2026-06-20T15:00:22Z","377285","16813","918","20","Gaming"
"EfQiLKoTo7E","Listen to the Music","The Doobie Brothers - Topic","2026-06-19T10:00:14Z","31095","471","4","10","Music"
"LU6UsOPtq58","Zenless Zone Zero v3.1: Official Void Hunter Agent Remielle Trailer","IGN","2026-06-20T02:00:02Z","477543","26411","2035","20","Gaming"
"GKIX-3Tyu2c","STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS","FridBlox","2026-06-20T20:52:28Z","214310","1192","0","20","Gaming"
"q3RgqVoPJwY","Sultaan - Studio Gangsters","SULTAAN","2026-06-19T04:30:22Z","488140","29504","3400","10","Music"
"t3x8Fiapwsw","THEY FINALLY NAILED IT! – Spider-Man: Brand New Day Trailer REACTION Featuring SUPERMAN!","Nerdrotic Daily","2026-06-20T16:34:51Z","46945","3212","503","10","Music"
"Ud5e2iI8JQE","Escaping The Monsters In The Middle Of The Ocean...","Joe Bart Games","2026-06-20T14:49:16Z","213182","8489","557","20","Gaming"
"LTtHMYHpMhg","Sadi Sun","Harsh Nussi - Topic","2026-06-09T19:59:16Z","195437","3190","28","10","Music"
"VxSgqK5a4Sc","MAX REACTS: KENSHIRO Trailer/Gameplay - FATAL FURY COTW","Maximilian Dood","2026-06-20T23:05:25Z","32899","2860","583","20","Gaming"
"Do7PKfEnelM","I Mastered Minecraft Speed","ManePear","2026-06-20T14:32:12Z","514571","30824","3273","20","Gaming"
"lXTU664qsyo","OK (feat. Don Toliver)","Kanye West - Topic","2026-06-20T04:07:34Z","329036","25041","1122","10","Music"
